Room,BlockStart,StudentCount,Ratio,RequiredStaff,day_of_week,week_of_year,lag_1,lag_7,LowerBound,UpperBound,Anomaly,Date
Dinosaur Stomp,2023-09-26 09:30:00,1,12,2,1,39,2.0,1.0,-2.0,6.0,Normal,2023-09-26
Pre-K2,2023-09-26 09:30:00,1,12,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 10:00:00,1,12,2,1,39,1.0,2.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 12:30:00,1,12,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 13:00:00,1,12,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 13:30:00,1,12,2,1,39,1.0,2.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 14:00:00,1,12,2,1,39,1.0,2.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 14:30:00,1,12,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 15:00:00,1,12,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 15:30:00,1,12,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 16:00:00,1,12,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Grampy Tom Preschool,2023-09-26 16:30:00,1,10,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 16:30:00,2,12,2,1,39,1.0,1.0,-0.5,3.5,Normal,2023-09-26
Pennie Preschool 1,2023-09-26 16:30:00,2,10,2,1,39,2.0,1.0,-0.5,3.5,Normal,2023-09-26
Pre-K2,2023-09-26 17:00:00,1,12,2,1,39,2.0,1.0,-0.5,3.5,Normal,2023-09-26
Wild Things,2023-09-28 07:00:00,1,10,2,3,39,1.0,1.0,-2.0,6.0,Normal,2023-09-28
Pre-K1,2023-09-28 07:00:00,2,12,2,3,39,1.0,1.0,-0.5,3.5,Normal,2023-09-28
Monkeys,2023-09-28 07:00:00,1,6,2,3,39,2.0,1.0,-0.5,3.5,Normal,2023-09-28
Henry Toddlers,2023-09-28 07:00:00,1,6,2,3,39,1.0,1.0,-0.5,3.5,Normal,2023-09-28
Pre-K2,2023-09-28 07:00:00,1,12,2,3,39,1.0,2.0,-0.5,3.5,Normal,2023-09-28
Grampy Tom Preschool,2023-09-28 07:00:00,1,10,2,3,39,1.0,2.0,-0.5,3.5,Normal,2023-09-28
Pandas,2023-09-28 07:30:00,2,6,2,3,39,1.0,1.0,-0.5,3.5,Normal,2023-09-28
Pre-K2,2023-09-28 07:30:00,2,12,2,3,39,2.0,1.0,-0.5,3.5,Normal,2023-09-28
Wild Things,2023-09-28 07:30:00,2,10,2,3,39,2.0,2.0,-2.0,6.0,Normal,2023-09-28
Pennie Toddlers,2023-09-28 07:30:00,2,6,2,3,39,2.0,1.0,1.0,1.0,High,2023-09-28
Pre-K1,2023-09-28 07:30:00,2,12,2,3,39,2.0,1.0,-0.5,3.5,Normal,2023-09-28
Grampy Tom Toddlers,2023-09-28 07:30:00,1,6,2,3,39,2.0,1.0,-0.5,3.5,Normal,2023-09-28
Grampy Tom Preschool,2023-09-28 07:30:00,2,10,2,3,39,1.0,1.0,-0.5,3.5,Normal,2023-09-28
Dinosaur Stomp,2023-09-28 07:30:00,1,12,2,3,39,2.0,2.0,-2.0,6.0,Normal,2023-09-28
Monkeys,2023-09-28 07:30:00,1,6,2,3,39,1.0,2.0,-0.5,3.5,Normal,2023-09-28
Pandas,2023-09-28 08:00:00,2,6,2,3,39,1.0,2.0,-0.5,3.5,Normal,2023-09-28
Henry Multi-Age,2023-09-28 08:00:00,1,4,2,3,39,2.0,2.0,1.0,1.0,Normal,2023-09-28
Pre-K2,2023-09-28 08:00:00,2,12,2,3,39,1.0,2.0,-0.5,3.5,Normal,2023-09-28
Grampy Tom Preschool,2023-09-28 08:00:00,3,10,2,3,39,2.0,1.0,-0.5,3.5,Normal,2023-09-28
Wild Things,2023-09-28 08:00:00,3,10,2,3,39,3.0,2.0,-2.0,6.0,Normal,2023-09-28
Monkeys,2023-09-28 08:00:00,1,6,2,3,39,3.0,1.0,-0.5,3.5,Normal,2023-09-28
Grampy Tom Toddlers,2023-09-28 08:00:00,3,6,2,3,39,1.0,1.0,-0.5,3.5,Normal,2023-09-28
Pre-K1,2023-09-28 08:00:00,2,12,2,3,39,3.0,2.0,-0.5,3.5,Normal,2023-09-28
Dinosaur Stomp,2023-09-28 08:00:00,4,12,2,3,39,2.0,1.0,-2.0,6.0,Normal,2023-09-28
Dinosaur Stomp,2023-09-28 08:30:00,1,12,2,3,39,4.0,2.0,-2.0,6.0,Normal,2023-09-28
Grampy Tom Toddlers,2023-09-28 08:30:00,1,6,2,3,39,1.0,3.0,-0.5,3.5,Normal,2023-09-28
Grampy Tom Preschool,2023-09-28 08:30:00,2,10,2,3,39,1.0,3.0,-0.5,3.5,Normal,2023-09-28
Pennie Preschool 1,2023-09-28 08:30:00,1,10,2,3,39,2.0,1.0,-0.5,3.5,Normal,2023-09-28
Llamas Llamas,2023-09-28 08:30:00,1,4,2,3,39,1.0,3.0,-0.5,3.5,Normal,2023-09-28
Pre-K1,2023-09-28 08:30:00,3,12,2,3,39,1.0,2.0,-0.5,3.5,Normal,2023-09-28
Wild Things,2023-09-28 08:30:00,2,10,2,3,39,3.0,4.0,-2.0,6.0,Normal,2023-09-28
Pre-K2,2023-09-28 08:30:00,1,12,2,3,39,2.0,1.0,-0.5,3.5,Normal,2023-09-28
Grampy Tom Preschool,2023-09-28 09:00:00,1,10,2,3,39,1.0,1.0,-0.5,3.5,Normal,2023-09-28
Pre-K1,2023-09-28 09:00:00,1,12,2,3,39,1.0,2.0,-0.5,3.5,Normal,2023-09-28
Henry Multi-Age,2023-09-28 10:00:00,1,4,2,3,39,1.0,1.0,1.0,1.0,Normal,2023-09-28
Grampy Tom Toddlers,2023-10-02 07:00:00,1,6,2,0,40,1.0,1.0,-0.5,3.5,Normal,2023-10-02
Wild Things,2023-10-02 07:00:00,1,10,2,0,40,1.0,3.0,-2.0,6.0,Normal,2023-10-02
Pre-K1,2023-10-02 07:00:00,2,12,2,0,40,1.0,2.0,-0.5,3.5,Normal,2023-10-02
Pre-K2,2023-10-02 07:30:00,4,12,2,0,40,2.0,1.0,-0.5,3.5,High,2023-10-02
Wild Things,2023-10-02 07:30:00,2,10,2,0,40,4.0,1.0,-2.0,6.0,Normal,2023-10-02
Monkeys,2023-10-02 07:30:00,1,6,2,0,40,2.0,1.0,-0.5,3.5,Normal,2023-10-02
Pennie Preschool 1,2023-10-02 07:30:00,1,10,2,0,40,1.0,1.0,-0.5,3.5,Normal,2023-10-02
Llamas Llamas,2023-10-02 07:30:00,1,4,2,0,40,1.0,1.0,-0.5,3.5,Normal,2023-10-02
Grampy Tom Toddlers,2023-10-02 07:30:00,3,6,2,0,40,1.0,1.0,-0.5,3.5,Normal,2023-10-02
Pennie Toddlers,2023-10-02 07:30:00,2,6,2,0,40,3.0,2.0,1.0,1.0,High,2023-10-02
Dinosaur Stomp,2023-10-02 07:30:00,3,12,2,0,40,2.0,4.0,-2.0,6.0,Normal,2023-10-02
Pandas,2023-10-02 07:30:00,1,6,2,0,40,3.0,2.0,-0.5,3.5,Normal,2023-10-02
Pre-K1,2023-10-02 07:30:00,3,12,2,0,40,1.0,1.0,-0.5,3.5,Normal,2023-10-02
Grampy Tom Preschool,2023-10-02 07:30:00,1,10,2,0,40,3.0,1.0,-0.5,3.5,Normal,2023-10-02
Wild Things,2023-10-02 08:00:00,6,10,2,0,40,1.0,1.0,-2.0,6.0,Normal,2023-10-02
Llamas Llamas,2023-10-02 08:00:00,1,4,2,0,40,6.0,3.0,-0.5,3.5,Normal,2023-10-02
Grampy Tom Toddlers,2023-10-02 08:00:00,3,6,2,0,40,1.0,2.0,-0.5,3.5,Normal,2023-10-02
Pre-K2,2023-10-02 08:00:00,5,12,2,0,40,3.0,3.0,-0.5,3.5,High,2023-10-02
Pandas,2023-10-02 08:00:00,2,6,2,0,40,5.0,1.0,-0.5,3.5,Normal,2023-10-02
Dinosaur Stomp,2023-10-02 08:00:00,2,12,2,0,40,2.0,3.0,-2.0,6.0,Normal,2023-10-02
Pennie Toddlers,2023-10-02 08:00:00,2,6,2,0,40,2.0,1.0,1.0,1.0,High,2023-10-02
Grampy Tom Preschool,2023-10-02 08:00:00,3,10,2,0,40,2.0,6.0,-0.5,3.5,Normal,2023-10-02
Monkeys,2023-10-02 08:00:00,1,6,2,0,40,3.0,1.0,-0.5,3.5,Normal,2023-10-02
Pre-K1,2023-10-02 08:00:00,1,12,2,0,40,1.0,3.0,-0.5,3.5,Normal,2023-10-02
Pennie Preschool 1,2023-10-02 08:00:00,1,10,2,0,40,1.0,5.0,-0.5,3.5,Normal,2023-10-02
Pandas,2023-10-02 08:30:00,1,6,2,0,40,1.0,2.0,-0.5,3.5,Normal,2023-10-02
Dinosaur Stomp,2023-10-02 08:30:00,2,12,2,0,40,1.0,2.0,-2.0,6.0,Normal,2023-10-02
Wild Things,2023-10-02 08:30:00,1,10,2,0,40,2.0,2.0,-2.0,6.0,Normal,2023-10-02
Grampy Tom Preschool,2023-10-02 08:30:00,1,10,2,0,40,1.0,3.0,-0.5,3.5,Normal,2023-10-02
Pre-K2,2023-10-02 08:30:00,2,12,2,0,40,1.0,1.0,-0.5,3.5,Normal,2023-10-02
Monkeys,2023-10-02 08:30:00,1,6,2,0,40,2.0,1.0,-0.5,3.5,Normal,2023-10-02
Pre-K1,2023-10-02 08:30:00,3,12,2,0,40,1.0,1.0,-0.5,3.5,Normal,2023-10-02
Pre-K2,2023-10-02 09:00:00,1,12,2,0,40,3.0,1.0,-0.5,3.5,Normal,2023-10-02
Henry Multi-Age,2023-10-02 09:00:00,1,4,2,0,40,1.0,2.0,1.0,1.0,Normal,2023-10-02
Pre-K2,2023-10-02 09:30:00,1,12,2,0,40,1.0,1.0,-0.5,3.5,Normal,2023-10-02
Henry Multi-Age,2023-10-02 09:30:00,1,4,2,0,40,1.0,1.0,1.0,1.0,Normal,2023-10-02
Pre-K2,2023-10-02 10:00:00,1,12,2,0,40,1.0,2.0,-0.5,3.5,Normal,2023-10-02
Henry Multi-Age,2023-10-02 10:00:00,1,4,2,0,40,1.0,1.0,1.0,1.0,Normal,2023-10-02
Henry Multi-Age,2023-10-02 10:30:00,1,4,2,0,40,1.0,3.0,1.0,1.0,Normal,2023-10-02
Monkeys,2023-10-04 06:30:00,1,6,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Monkeys,2023-10-04 07:00:00,1,6,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Pre-K2,2023-10-04 07:00:00,1,12,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Dinosaur Stomp,2023-10-04 07:30:00,3,12,2,2,40,1.0,1.0,-2.0,6.0,Normal,2023-10-04
Pre-K2,2023-10-04 07:30:00,1,12,2,2,40,3.0,1.0,-0.5,3.5,Normal,2023-10-04
Pandas,2023-10-04 07:30:00,1,6,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Pre-K1,2023-10-04 07:30:00,3,12,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Grampy Tom Preschool,2023-10-04 07:30:00,2,10,2,2,40,3.0,1.0,-0.5,3.5,Normal,2023-10-04
Pennie Preschool 1,2023-10-04 07:30:00,2,10,2,2,40,2.0,1.0,-0.5,3.5,Normal,2023-10-04
Wild Things,2023-10-04 07:30:00,3,10,2,2,40,2.0,1.0,-2.0,6.0,Normal,2023-10-04
Grampy Tom Toddlers,2023-10-04 07:30:00,2,6,2,2,40,3.0,3.0,-0.5,3.5,Normal,2023-10-04
Pre-K2,2023-10-04 08:00:00,5,12,2,2,40,2.0,1.0,-0.5,3.5,High,2023-10-04
Henry Toddlers,2023-10-04 08:00:00,1,6,2,2,40,5.0,1.0,-0.5,3.5,Normal,2023-10-04
Pandas,2023-10-04 08:00:00,2,6,2,2,40,1.0,3.0,-0.5,3.5,Normal,2023-10-04
Grampy Tom Toddlers,2023-10-04 08:00:00,1,6,2,2,40,2.0,2.0,-0.5,3.5,Normal,2023-10-04
Wild Things,2023-10-04 08:00:00,5,10,2,2,40,1.0,2.0,-2.0,6.0,Normal,2023-10-04
Monkeys,2023-10-04 08:00:00,1,6,2,2,40,5.0,3.0,-0.5,3.5,Normal,2023-10-04
Pennie Preschool 1,2023-10-04 08:00:00,2,10,2,2,40,1.0,2.0,-0.5,3.5,Normal,2023-10-04
Pre-K1,2023-10-04 08:00:00,3,12,2,2,40,2.0,5.0,-0.5,3.5,Normal,2023-10-04
Dinosaur Stomp,2023-10-04 08:00:00,6,12,2,2,40,3.0,1.0,-2.0,6.0,Normal,2023-10-04
Pre-K1,2023-10-04 08:30:00,1,12,2,2,40,6.0,2.0,-0.5,3.5,Normal,2023-10-04
Pre-K2,2023-10-04 08:30:00,1,12,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Pandas,2023-10-04 08:30:00,1,6,2,2,40,1.0,5.0,-0.5,3.5,Normal,2023-10-04
Wild Things,2023-10-04 08:30:00,2,10,2,2,40,1.0,1.0,-2.0,6.0,Normal,2023-10-04
Henry Toddlers,2023-10-04 08:30:00,1,6,2,2,40,2.0,2.0,-0.5,3.5,Normal,2023-10-04
Dinosaur Stomp,2023-10-04 08:30:00,1,12,2,2,40,1.0,3.0,-2.0,6.0,Normal,2023-10-04
Henry Multi-Age,2023-10-04 09:00:00,1,4,2,2,40,1.0,6.0,1.0,1.0,Normal,2023-10-04
Pandas,2023-10-04 09:00:00,1,6,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Pre-K1,2023-10-04 09:00:00,1,12,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Pandas,2023-10-04 09:30:00,1,6,2,2,40,1.0,1.0,-0.5,3.5,Normal,2023-10-04
Pre-K2,2023-10-10 07:00:00,1,12,2,1,41,1.0,2.0,-0.5,3.5,Normal,2023-10-10
Dinosaur Stomp,2023-10-10 07:00:00,1,12,2,1,41,1.0,1.0,-2.0,6.0,Normal,2023-10-10
Henry Toddlers,2023-10-10 07:00:00,1,6,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Grampy Tom Preschool,2023-10-10 07:00:00,1,10,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pandas,2023-10-10 07:30:00,1,6,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Monkeys,2023-10-10 07:30:00,1,6,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Wild Things,2023-10-10 07:30:00,2,10,2,1,41,1.0,1.0,-2.0,6.0,Normal,2023-10-10
Dinosaur Stomp,2023-10-10 07:30:00,1,12,2,1,41,2.0,1.0,-2.0,6.0,Normal,2023-10-10
Pennie Preschool 1,2023-10-10 07:30:00,1,10,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Hungry Caterpillars,2023-10-10 07:30:00,1,4,2,1,41,1.0,1.0,1.0,1.0,Normal,2023-10-10
Grampy Tom Preschool,2023-10-10 07:30:00,2,10,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K1,2023-10-10 07:30:00,1,12,2,1,41,2.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K1,2023-10-10 08:00:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pandas,2023-10-10 08:00:00,2,6,2,1,41,1.0,2.0,-0.5,3.5,Normal,2023-10-10
Pennie Preschool 1,2023-10-10 08:00:00,2,10,2,1,41,2.0,1.0,-0.5,3.5,Normal,2023-10-10
Rabbits,2023-10-10 08:00:00,1,6,2,1,41,2.0,1.0,-0.5,3.5,Normal,2023-10-10
Dinosaur Stomp,2023-10-10 08:00:00,5,12,2,1,41,1.0,1.0,-2.0,6.0,Normal,2023-10-10
Pre-K2,2023-10-10 08:00:00,2,12,2,1,41,5.0,2.0,-0.5,3.5,Normal,2023-10-10
Wild Things,2023-10-10 08:00:00,2,10,2,1,41,2.0,1.0,-2.0,6.0,Normal,2023-10-10
Monkeys,2023-10-10 08:00:00,1,6,2,1,41,2.0,1.0,-0.5,3.5,Normal,2023-10-10
Grampy Tom Preschool,2023-10-10 08:00:00,5,10,2,1,41,1.0,2.0,-0.5,3.5,High,2023-10-10
Hungry Caterpillars,2023-10-10 08:00:00,1,4,2,1,41,5.0,2.0,1.0,1.0,Normal,2023-10-10
Llamas Llamas,2023-10-10 08:00:00,1,4,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Henry Multi-Age,2023-10-10 08:30:00,1,4,2,1,41,1.0,5.0,1.0,1.0,Normal,2023-10-10
Pandas,2023-10-10 08:30:00,1,6,2,1,41,1.0,2.0,-0.5,3.5,Normal,2023-10-10
Pennie Preschool 1,2023-10-10 08:30:00,1,10,2,1,41,1.0,2.0,-0.5,3.5,Normal,2023-10-10
Pre-K1,2023-10-10 08:30:00,2,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Llamas Llamas,2023-10-10 08:30:00,1,4,2,1,41,2.0,5.0,-0.5,3.5,Normal,2023-10-10
Grampy Tom Toddlers,2023-10-10 08:30:00,2,6,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 08:30:00,1,12,2,1,41,2.0,1.0,-0.5,3.5,Normal,2023-10-10
Grampy Tom Preschool,2023-10-10 08:30:00,2,10,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Dinosaur Stomp,2023-10-10 08:30:00,1,12,2,1,41,2.0,1.0,-2.0,6.0,Normal,2023-10-10
Wild Things,2023-10-10 08:30:00,1,10,2,1,41,1.0,1.0,-2.0,6.0,Normal,2023-10-10
Grampy Tom Preschool,2023-10-10 09:00:00,1,10,2,1,41,1.0,2.0,-0.5,3.5,Normal,2023-10-10
Dinosaur Stomp,2023-10-10 09:00:00,1,12,2,1,41,1.0,1.0,-2.0,6.0,Normal,2023-10-10
Grampy Tom Toddlers,2023-10-10 09:00:00,1,6,2,1,41,1.0,2.0,-0.5,3.5,Normal,2023-10-10
Grampy Tom Preschool,2023-10-10 09:30:00,1,10,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Dinosaur Stomp,2023-10-10 09:30:00,1,12,2,1,41,1.0,2.0,-2.0,6.0,Normal,2023-10-10
Grampy Tom Preschool,2023-10-10 10:00:00,1,10,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 12:30:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 13:00:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 13:30:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 14:00:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 14:30:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 15:00:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 15:30:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 16:30:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pennie Preschool 1,2023-10-10 16:30:00,1,10,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pre-K2,2023-10-10 17:00:00,1,12,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Pennie Preschool 1,2023-10-10 17:00:00,1,10,2,1,41,1.0,1.0,-0.5,3.5,Normal,2023-10-10
Monkeys,2023-10-12 07:00:00,1,6,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Pre-K2,2023-10-12 07:00:00,1,12,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Grampy Tom Preschool,2023-10-12 07:00:00,1,10,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Pennie Preschool 1,2023-10-12 07:00:00,2,10,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Wild Things,2023-10-12 07:30:00,2,10,2,3,41,2.0,1.0,-2.0,6.0,Normal,2023-10-12
Hungry Caterpillars,2023-10-12 07:30:00,1,4,2,3,41,2.0,1.0,1.0,1.0,Normal,2023-10-12
Pennie Preschool 1,2023-10-12 07:30:00,2,10,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Pre-K1,2023-10-12 07:30:00,1,12,2,3,41,2.0,1.0,-0.5,3.5,Normal,2023-10-12
Dinosaur Stomp,2023-10-12 07:30:00,3,12,2,3,41,1.0,1.0,-2.0,6.0,Normal,2023-10-12
Grampy Tom Preschool,2023-10-12 07:30:00,1,10,2,3,41,3.0,1.0,-0.5,3.5,Normal,2023-10-12
Pennie Preschool 1,2023-10-12 08:00:00,2,10,2,3,41,1.0,2.0,-0.5,3.5,Normal,2023-10-12
Monkeys,2023-10-12 08:00:00,1,6,2,3,41,2.0,2.0,-0.5,3.5,Normal,2023-10-12
Grampy Tom Toddlers,2023-10-12 08:00:00,2,6,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Grampy Tom Preschool,2023-10-12 08:00:00,6,10,2,3,41,2.0,2.0,-0.5,3.5,High,2023-10-12
Dinosaur Stomp,2023-10-12 08:00:00,3,12,2,3,41,6.0,1.0,-2.0,6.0,Normal,2023-10-12
Llamas Llamas,2023-10-12 08:00:00,1,4,2,3,41,3.0,3.0,-0.5,3.5,Normal,2023-10-12
Pre-K2,2023-10-12 08:00:00,1,12,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Pre-K1,2023-10-12 08:00:00,2,12,2,3,41,1.0,2.0,-0.5,3.5,Normal,2023-10-12
Wild Things,2023-10-12 08:00:00,3,10,2,3,41,2.0,1.0,-2.0,6.0,Normal,2023-10-12
Hungry Caterpillars,2023-10-12 08:00:00,1,4,2,3,41,3.0,2.0,1.0,1.0,Normal,2023-10-12
Pre-K1,2023-10-12 08:30:00,1,12,2,3,41,1.0,6.0,-0.5,3.5,Normal,2023-10-12
Monkeys,2023-10-12 08:30:00,2,6,2,3,41,1.0,3.0,-0.5,3.5,Normal,2023-10-12
Llamas Llamas,2023-10-12 08:30:00,1,4,2,3,41,2.0,1.0,-0.5,3.5,Normal,2023-10-12
Grampy Tom Toddlers,2023-10-12 08:30:00,1,6,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Grampy Tom Preschool,2023-10-12 08:30:00,2,10,2,3,41,1.0,2.0,-0.5,3.5,Normal,2023-10-12
Dinosaur Stomp,2023-10-12 08:30:00,4,12,2,3,41,2.0,3.0,-2.0,6.0,Normal,2023-10-12
Grampy Tom Preschool,2023-10-12 09:00:00,1,10,2,3,41,4.0,1.0,-0.5,3.5,Normal,2023-10-12
Henry Multi-Age,2023-10-12 09:00:00,1,4,2,3,41,1.0,1.0,1.0,1.0,Normal,2023-10-12
Pre-K1,2023-10-12 09:00:00,1,12,2,3,41,1.0,2.0,-0.5,3.5,Normal,2023-10-12
Llamas Llamas,2023-10-12 09:00:00,1,4,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Pre-K1,2023-10-12 09:30:00,1,12,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Henry Multi-Age,2023-10-12 09:30:00,1,4,2,3,41,1.0,2.0,1.0,1.0,Normal,2023-10-12
Llamas Llamas,2023-10-12 09:30:00,1,4,2,3,41,1.0,4.0,-0.5,3.5,Normal,2023-10-12
Henry Multi-Age,2023-10-12 10:00:00,1,4,2,3,41,1.0,1.0,1.0,1.0,Normal,2023-10-12
Pre-K1,2023-10-12 10:00:00,1,12,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Pre-K1,2023-10-12 16:00:00,3,12,2,3,41,1.0,1.0,-0.5,3.5,Normal,2023-10-12
Pre-K1,2023-10-16 06:30:00,1,12,2,0,42,3.0,1.0,-0.5,3.5,Normal,2023-10-16
Grampy Tom Toddlers,2023-10-16 06:30:00,1,6,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Pennie Preschool 1,2023-10-16 07:00:00,1,10,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Henry Toddlers,2023-10-16 07:00:00,1,6,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Monkeys,2023-10-16 07:00:00,1,6,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Pre-K2,2023-10-16 07:00:00,1,12,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Llamas Llamas,2023-10-16 07:30:00,1,4,2,0,42,1.0,3.0,-0.5,3.5,Normal,2023-10-16
Monkeys,2023-10-16 07:30:00,2,6,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Pre-K2,2023-10-16 07:30:00,1,12,2,0,42,2.0,1.0,-0.5,3.5,Normal,2023-10-16
Pennie Preschool 1,2023-10-16 07:30:00,1,10,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Hungry Caterpillars,2023-10-16 07:30:00,1,4,2,0,42,1.0,1.0,1.0,1.0,Normal,2023-10-16
Pre-K1,2023-10-16 07:30:00,2,12,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Wild Things,2023-10-16 07:30:00,4,10,2,0,42,2.0,1.0,-2.0,6.0,Normal,2023-10-16
Wild Things,2023-10-16 08:00:00,4,10,2,0,42,4.0,1.0,-2.0,6.0,Normal,2023-10-16
Llamas Llamas,2023-10-16 08:00:00,2,4,2,0,42,4.0,2.0,-0.5,3.5,Normal,2023-10-16
Hungry Caterpillars,2023-10-16 08:00:00,1,4,2,0,42,2.0,1.0,1.0,1.0,Normal,2023-10-16
Pre-K2,2023-10-16 08:00:00,3,12,2,0,42,1.0,1.0,-0.5,3.5,Normal,2023-10-16
Dinosaur Stomp,2023-10-16 08:00:00,2,12,2,0,42,3.0,1.0,-2.0,6.0,Normal,2023-10-16
Pennie Preschool 1,2023-10-16 08:00:00,1,10,2,0,42,2.0,2.0,-0.5,3.5,Normal,2023-10-16
Monkeys,2023-10-16 08:00:00,2,6,2,0,42,1.0,4.0,-0.5,3.5,Normal,2023-10-16
Pre-K1,2023-10-16 08:00:00,3,12,2,0,42,2.0,4.0,-0.5,3.5,Normal,2023-10-16
Rabbits,2023-10-16 08:00:00,1,6,2,0,42,3.0,2.0,-0.5,3.5,Normal,2023-10-16
Dinosaur Stomp,2023-10-16 08:30:00,2,12,2,0,42,1.0,1.0,-2.0,6.0,Normal,2023-10-16
Wild Things,2023-10-16 08:30:00,1,10,2,0,42,2.0,3.0,-2.0,6.0,Normal,2023-10-16
Pre-K2,2023-10-16 08:30:00,3,12,2,0,42,1.0,2.0,-0.5,3.5,Normal,2023-10-16
Monkeys,2023-10-16 08:30:00,1,6,2,0,42,3.0,1.0,-0.5,3.5,Normal,2023-10-16
Grampy Tom Toddlers,2023-10-16 08:30:00,1,6,2,0,42,1.0,2.0,-0.5,3.5,Normal,2023-10-16
Llamas Llamas,2023-10-16 09:00:00,1,4,2,0,42,1.0,3.0,-0.5,3.5,Normal,2023-10-16
Henry Multi-Age,2023-10-16 09:30:00,1,4,2,0,42,1.0,1.0,1.0,1.0,Normal,2023-10-16
